player,salary
Al Horford,26540100
Amir Johnson,1.20E+07
Avery Bradley,8269663
Demetrius Jackson,1450000
Gerald Green,1410598
Isaiah Thomas,6587132
Jae Crowder,6286408
James Young,1825200
Jaylen Brown,4743000
Jonas Jerebko,5.00E+06
Jordan Mickey,1223653
Kelly Olynyk,3094014
Marcus Smart,3578880
Terry Rozier,1906440
Tyler Zeller,8.00E+06
Channing Frye,7806971
Dahntay Jones,18255
Deron Williams,259626
Derrick Williams,268029
Edy Tavares,5145
Iman Shumpert,9700000
J.R. Smith,12800000
James Jones,1551659
Kay Felder,543471
Kevin Love,21165675
Kyle Korver,5239437
Kyrie Irving,17638063
LeBron James,30963450
Richard Jefferson,2500000
Tristan Thompson,15330435
Bruno Caboclo,1589640
Cory Joseph,7330000
Delon Wright,1577280
DeMar DeRozan,26540100
DeMarre Carroll,14200000
Fred VanVleet,543471
Jakob Poeltl,2703960
Jonas Valanciunas,14382022
Kyle Lowry,1.20E+07
Lucas Nogueira,1921320
Norman Powell,874636
P.J. Tucker,5300000
Pascal Siakam,1196040
Patrick Patterson,6050000
Serge Ibaka,12250000
Bojan Bogdanovic,3730653
Bradley Beal,22116750
Brandon Jennings,1200000
Chris McCullough,1191480
Daniel Ochefu,543471
Ian Mahinmi,15944154
Jason Smith,5.00E+06
John Wall,16957900
Marcin Gortat,1.20E+07
Markieff Morris,7400000
Otto Porter,5893981
Sheldon McClellan,543471
Tomas Satoransky,2870813
Trey Burke,3386598
DeAndre' Bembry,1499760
Dennis Schroder,2708582
Dwight Howard,23180275
Ersan Ilyasova,8400000
Jose Calderon,392478
Kent Bazemore,15730338
Kris Humphries,4.00E+06
Malcolm Delaney,2500000
Mike Dunleavy,4837500
Mike Muscala,1015696
Paul Millsap,20072033
Ryan Kelly,418228
Thabo Sefolosha,3850000
Tim Hardaway,2281605
Giannis Antetokounmpo,2995421
Greg Monroe,17100000
Jabari Parker,5374320
Jason Terry,1551659
John Henson,12517606
Khris Middleton,15200000
Malcolm Brogdon,925000
Matthew Dellavedova,9607500
Michael Beasley,1403611
Mirza Teletovic,10500000
Rashad Vaughn,1811040
Spencer Hawes,6348759
Thon Maker,2568600
Tony Snell,2368327
Aaron Brooks,2700000
Al Jefferson,10230179
C.J. Miles,4583450
Georges Niang,650000
Jeff Teague,8800000
Joe Young,1052342
Kevin Seraphin,1800000
Lance Stephenson,4.00E+06
Lavoy Allen,4.00E+06
Monta Ellis,10770000
Myles Turner,2463840
Paul George,18314532
Rakeem Christmas,1052342
Thaddeus Young,14153652
Anthony Morrow,3488000
Bobby Portis,1453680
Cameron Payne,2112480
Cristiano Felicio,874636
Denzel Valentine,2092200
Dwyane Wade,23200000
Isaiah Canaan,1015696
Jerian Grant,1643040
Jimmy Butler,17552209
Joffrey Lauvergne,1709720
Michael Carter-Williams,3183526
Nikola Mirotic,5782450
Paul Zipser,750000
Rajon Rondo,1.40E+07
Robin Lopez,13219250
Dion Waiters,2898000
Goran Dragic,15890000
Hassan Whiteside,22116750
James Johnson,4.00E+06
Josh McRoberts,5782450
Josh Richardson,874636
Justise Winslow,2593440
Luke Babbitt,1227000
Okaro White,210995
Rodney McGruder,543471
Tyler Johnson,5628000
Udonis Haslem,4.00E+06
Wayne Ellington,6.00E+06
Willie Reed,1015696
Andre Drummond,22116750
Aron Baynes,6500000
Beno Udrih,1551659
Boban Marjanovic,7.00E+06
Darrun Hilliard,874060
Henry Ellenson,1704120
Ish Smith,6.00E+06
Jon Leuer,10991957
Kentavious Caldwell-Pope,3678319
Marcus Morris,4625000
Michael Gbinije,650000
Reggie Bullock,2255644
Reggie Jackson,14956522
Stanley Johnson,2969880
Tobias Harris,17200000
Brian Roberts,1050961
Briante Weber,102898
Christian Wood,874636
Cody Zeller,5318313
Frank Kaminsky,2730000
Jeremy Lamb,6511628
Johnny O'Bryant,161483
Kemba Walker,1.20E+07
Marco Belinelli,6333333
Marvin Williams,12250000
Michael Kidd-Gilchrist,1.30E+07
Miles Plumlee,12500000
Nicolas Batum,20869566
Ramon Sessions,6.00E+06
Treveon Graham,543471
Carmelo Anthony,24559380
Chasson Randle,143860
Courtney Lee,11242000
Derrick Rose,21323250
Joakim Noah,1.70E+07
Justin Holiday,1015696
Kristaps Porzingis,4317720
Kyle O'Quinn,3900000
Lance Thomas,6191000
Marshall Plumlee,543471
Maurice Ndour,543471
Mindaugas Kuzminskas,2898000
Ron Baker,543471
Sasha Vujacic,1410598
Willy Hernangomez,1375000
Aaron Gordon,4351320
Bismack Biyombo,1.70E+07
C.J. Watson,5.00E+06
D.J. Augustin,7250000
Damjan Rudez,980431
Elfrid Payton,2613600
Evan Fournier,1.70E+07
Jeff Green,1.50E+07
Jodie Meeks,6540000
Marcus Georges-Hunt,31969
Mario Hezonja,3909840
Nikola Vucevic,11750000
Patricio Garino,31969
Stephen Zimmerman,950000
Terrence Ross,1.00E+07
Alex Poythress,31969
Dario Saric,2318280
Gerald Henderson,9.00E+06
Jahlil Okafor,4788840
Jerryd Bayless,9424084
Joel Embiid,4826160
Justin Anderson,1514160
Nik Stauskas,2993040
Richaun Holmes,1025831
Robert Covington,1015696
Sergio Rodriguez,8.00E+06
Shawn Long,89513
T.J. McConnell,874636
Tiago Splitter,8550000
Timothe Luwawu-Cabarrot,1326960
Andrew Nicholson,6088993
Archie Goodwin,119494
Brook Lopez,21165675
Caris LeVert,1562280
Isaiah Whitehead,1074145
Jeremy Lin,11483254
Joe Harris,980431
Justin Hamilton,3.00E+06
K.J. McDaniels,3333333
Quincy Acy,1790902
Randy Foye,2500000
Rondae Hollis-Jefferson,1395600
Sean Kilpatrick,980431
Spencer Dinwiddie,726672
Trevor Booker,9250000
Andre Iguodala,11131368
Damian Jones,1171560
David West,1551659
Draymond Green,15330435
Ian Clark,1015696
James Michael McAdoo,980431
JaVale McGee,1403611
Kevin Durant,26540100
Kevon Looney,1182840
Klay Thompson,16663575
Matt Barnes,383351
Patrick McCaw,543471
Shaun Livingston,5782450
Stephen Curry,12112359
Zaza Pachulia,2898000
Bryn Forbes,543471
Danny Green,1.00E+07
David Lee,1551659
Davis Bertans,543471
Dejounte Murray,1180080
Dewayne Dedmon,2898000
Joel Anthony,165952
Jonathon Simmons,874636
Kawhi Leonard,17638063
Kyle Anderson,1192080
LaMarcus Aldridge,20575005
Manu Ginobili,1.40E+07
Patty Mills,3578948
Pau Gasol,15500000
Tony Parker,14445313
Bobby Brown,680534
Chinanu Onuaku,543471
Clint Capela,1296240
Eric Gordon,12385364
Isaiah Taylor,255000
James Harden,26540100
Kyle Wiltjer,543471
Lou Williams,7.00E+06
Montrezl Harrell,1.00E+06
Patrick Beverley,6.00E+06
Ryan Anderson,18735364
Sam Dekker,1720560
Trevor Ariza,7806971
Troy Williams,150000
Alan Anderson,1315448
Austin Rivers,1.10E+07
Blake Griffin,20140838
Brandon Bass,1551659
Brice Johnson,1273920
Chris Paul,22868828
DeAndre Jordan,21165675
Diamond Stone,543471
J.J. Redick,7377500
Jamal Crawford,13253012
Luc Mbah a Moute,2203000
Marreese Speights,1403611
Paul Pierce,3500000
Raymond Felton,1551659
Wesley Johnson,5628000
Alec Burks,10154495
Boris Diaw,7.00E+06
Dante Exum,3940320
Derrick Favors,11050000
George Hill,8.00E+06
Gordon Hayward,16073140
Jeff Withey,1015696
Joe Ingles,2250000
Joe Johnson,1.10E+07
Joel Bolomboy,6.00E+05
Raul Neto,937800
Rodney Hood,1406520
Rudy Gobert,2121288
Shelvin Mack,2433334
Trey Lyles,2340600
Alex Abrines,5994764
Andre Roberson,2183072
Domantas Sabonis,2440200
Doug McDermott,2483040
Enes Kanter,17145838
Jerami Grant,980431
Josh Huestis,1191480
Kyle Singler,4837500
Nick Collison,3750000
Norris Cole,247991
Russell Westbrook,26540100
Semaj Christon,543471
Steven Adams,3140517
Taj Gibson,8950000
Victor Oladipo,6552960
Andrew Harrison,945000
Brandan Wright,5700000
Chandler Parsons,22116750
Deyonta Davis,1369229
James Ennis,2898000
JaMychal Green,980431
Jarell Martin,1286160
