"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"1,Alex Abrines\abrinal01,SG,24,OKC,19,289,6.7,.508,.671,.157,2.6,8.2,5.3,3.5,1.7,0.3,8.6,12.3,,0.1,0.3,0.4,.066,,-2.5,-1.3,-3.8,-0.1"
"2,Quincy Acy\acyqu01,PF,27,BRK,16,295,7.0,.514,.789,.289,3.1,21.5,12.0,5.5,0.9,0.8,16.6,14.4,,-0.1,0.2,0.1,.018,,-2.7,-0.8,-3.5,-0.1"
"3,Steven Adams\adamsst01,C,24,OKC,18,560,20.6,.662,.000,.320,15.2,13.9,14.6,4.1,2.1,3.5,15.1,15.9,,1.5,0.9,2.4,.203,,1.2,1.6,2.9,0.7"
"4,Bam Adebayo\adebaba01,C,20,MIA,13,191,17.0,.631,.000,.537,11.1,19.0,15.1,1.6,2.6,3.0,15.1,14.0,,0.3,0.3,0.7,.168,,-2.2,1.7,-0.5,0.1"
"5,Arron Afflalo\afflaar01,SG,32,ORL,17,199,2.4,.396,.472,.278,0.6,12.9,6.8,5.7,0.2,1.2,12.9,10.1,,-0.2,0.0,-0.2,-0.047,,-5.3,-1.2,-6.5,-0.2"
"6,Cole Aldrich\aldrico01,C,29,MIN,5,10,0.8,.174,.000,1.000,0.0,11.7,5.8,12.1,5.0,0.0,0.0,12.6,,0.0,0.0,0.0,-0.075,,-7.6,1.4,-6.2,0.0"
"7,LaMarcus Aldridge\aldrila01,PF,32,SAS,22,731,26.4,.586,.100,.316,10.7,16.5,13.6,12.8,0.9,3.1,6.9,28.5,,2.7,1.1,3.7,.245,,4.1,0.1,4.2,1.1"
"8,Jarrett Allen\allenja01,C,19,BRK,13,200,13.0,.518,.022,.348,8.6,17.2,12.7,4.2,2.1,3.5,10.2,12.2,,0.2,0.2,0.4,.096,,-2.8,2.2,-0.6,0.1"
"9,Tony Allen\allento01,SG,36,NOP,18,236,8.6,.491,.138,.188,8.6,11.9,10.3,5.6,2.0,1.1,16.4,19.1,,-0.2,0.2,0.0,.000,,-4.5,-0.9,-5.4,-0.2"
"10,Al-Farouq Aminu\aminual01,PF,27,POR,9,264,15.0,.593,.524,.190,5.9,22.6,14.4,7.9,1.3,3.0,11.6,12.8,,0.4,0.5,0.9,.173,,0.2,2.9,3.1,0.3"
"11,Justin Anderson\anderju01,SF,24,PHI,10,126,9.6,.489,.542,.146,8.4,13.7,11.1,3.4,1.1,0.7,7.3,18.1,,0.1,0.1,0.2,.069,,-1.5,-2.5,-4.0,-0.1"
"12,Kyle Anderson\anderky01,SF,24,SAS,22,609,16.9,.570,.072,.336,5.7,18.9,12.3,16.3,2.1,2.6,13.4,14.8,,1.0,1.1,2.1,.167,,-0.1,3.3,3.2,0.8"
"13,Ryan Anderson\anderry01,PF,29,HOU,20,600,14.3,.639,.781,.144,5.1,16.3,10.7,3.5,0.5,1.3,7.9,15.6,,1.3,0.6,1.9,.152,,2.0,-1.1,0.9,0.4"
"14,Ike Anigbogu\anigbik01,C,19,IND,6,17,5.2,.340,.000,.400,13.3,13.0,13.1,0.0,2.8,4.9,25.4,20.2,,-0.1,0.0,0.0,-0.114,,-10.9,-1.2,-12.1,0.0"
"15,Giannis Antetokounmpo\antetgi01,PF,23,MIL,19,707,30.7,.607,.086,.430,6.0,26.1,16.0,23.3,2.3,4.3,10.4,33.1,,2.6,1.1,3.7,.251,,5.2,2.3,7.4,1.7"
"16,Carmelo Anthony\anthoca01,SF,33,OKC,20,646,16.3,.534,.394,.237,2.5,19.9,10.9,8.3,1.3,2.0,8.4,26.3,,0.7,0.9,1.6,.119,,-0.9,-1.5,-2.4,-0.1"
"17,OG Anunoby\anunoog01,SF,20,TOR,21,395,12.7,.606,.550,.220,3.6,8.5,6.1,6.9,2.2,0.2,6.8,13.1,,0.7,0.4,1.1,.134,,2.4,-0.1,2.3,0.4"
