"Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G"
"1,Alex Abrines\abrinal01,SG,24,OKC,19,0,15.2,1.4,3.7,.371,0.8,2.5,.319,0.6,1.2,.478,.479,0.5,0.6,.818,0.4,1.1,1.4,0.4,0.5,0.1,0.4,1.7,4.0"
"2,Quincy Acy\acyqu01,PF,27,BRK,16,0,18.4,1.6,4.8,.329,1.3,3.8,.333,0.3,1.0,.313,.461,1.1,1.4,.818,0.6,3.7,4.3,0.8,0.4,0.2,1.1,2.3,5.5"
"3,Steven Adams\adamsst01,C,24,OKC,18,18,31.1,5.4,8.5,.641,0.0,0.0,,5.4,8.5,.641,.641,1.9,2.7,.714,4.3,3.7,8.0,0.8,1.3,1.2,1.7,2.8,12.8"
"4,Bam Adebayo\adebaba01,C,20,MIA,13,5,14.7,1.8,3.2,.585,0.0,0.0,,1.8,3.2,.585,.585,1.2,1.7,.727,1.5,2.5,4.0,0.2,0.8,0.5,0.7,1.5,4.9"
"5,Arron Afflalo\afflaar01,SG,32,ORL,17,0,11.7,0.6,2.1,.278,0.3,1.0,.294,0.3,1.1,.263,.347,0.4,0.6,.700,0.1,1.4,1.5,0.5,0.1,0.2,0.4,0.9,1.9"
"6,Cole Aldrich\aldrico01,C,29,MIN,5,0,2.0,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.2,0.4,.500,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.4,0.2"
"7,LaMarcus Aldridge\aldrila01,PF,32,SAS,22,22,33.2,8.9,17.3,.516,0.7,1.7,.395,8.2,15.5,.529,.536,4.5,5.5,.833,3.2,4.9,8.1,2.2,0.6,1.2,1.5,2.3,23.0"
"8,Jarrett Allen\allenja01,C,19,BRK,13,0,15.4,1.7,3.5,.478,0.0,0.1,.000,1.7,3.5,.489,.478,0.8,1.2,.688,1.3,2.5,3.8,0.5,0.7,0.7,0.5,1.6,4.2"
"9,Tony Allen\allento01,SG,36,NOP,18,0,13.1,2.1,4.4,.475,0.2,0.6,.273,1.9,3.8,.507,.494,0.3,0.8,.400,1.0,1.4,2.4,0.5,0.6,0.2,0.9,2.2,4.7"
"10,Al-Farouq Aminu\aminual01,PF,27,POR,9,8,29.3,3.1,7.0,.444,1.7,3.7,.455,1.4,3.3,.433,.563,1.1,1.3,.833,1.6,6.2,7.8,1.6,0.8,1.1,1.0,1.7,9.0"
"11,Justin Anderson\anderju01,SF,24,PHI,10,0,12.6,1.8,4.8,.375,0.9,2.6,.346,0.9,2.2,.409,.469,0.5,0.7,.714,1.0,1.7,2.7,0.3,0.3,0.1,0.4,1.9,5.0"
