season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2000,vancouver_grizzlies,23.0,59.0,0.2804878048780488,44.699999999999996,104.80000000000001,4.999999999999999,15.599999999999998,39.5,89.4,23.799999999999997,31.099999999999998,14.600000000000001,39.50000000000001,54.1,30.6,9.6,5.4,20.1,30.099999999999998,118.60000000000002,321.40000000000003,0.41733333333333333,0.2259285714285714,0.4043999999999999,0.7671999999999998,0.42653333333333326,28.4
2000,denver_nuggets,40.0,42.0,0.4878048780487805,49.8,118.00000000000001,7.6,21.800000000000004,42.300000000000004,96.0,23.199999999999996,34.2,20.1,45.6,65.5,31.499999999999996,9.6,9.700000000000001,19.400000000000002,34.400000000000006,130.4,353.09999999999997,0.41527777777777775,0.31066666666666665,0.4013888888888888,0.6234444444444446,0.4267777777777778,28.22222222222222
2001,denver_nuggets,27.0,55.0,0.32926829268292684,71.29999999999998,165.4,9.5,27.700000000000003,61.699999999999996,137.59999999999997,32.1,43.599999999999994,29.099999999999998,56.199999999999996,85.1,45.0,14.1,11.200000000000001,29.0,45.6,184.10000000000005,466.4000000000001,0.4428571428571429,0.2142941176470588,0.4309523809523809,0.728,0.4520476190476191,27.666666666666668
2002,denver_nuggets,17.0,65.0,0.2073170731707317,54.8,140.90000000000003,7.200000000000001,24.1,47.6,116.8,26.6,37.900000000000006,21.5,46.599999999999994,68.5,41.2,15.299999999999999,7.7,29.5,43.60000000000001,143.6,423.5,0.38047619047619047,0.253,0.36695238095238103,0.6954761904761905,0.39290476190476187,25.285714285714285
2003,denver_nuggets,43.0,39.0,0.524390243902439,41.9,96.89999999999999,4.8,13.8,37.1,83.1,22.6,29.499999999999996,15.999999999999998,35.5,51.99999999999999,24.5,10.8,7.3999999999999995,17.5,29.1,111.2,290.5999999999999,0.4319333333333334,0.2265,0.4234666666666666,0.7021333333333334,0.44226666666666664,26.066666666666666
2004,denver_nuggets,49.0,33.0,0.5975609756097561,51.9,114.30000000000001,7.699999999999999,20.0,44.400000000000006,94.10000000000004,27.1,36.79999999999999,17.299999999999997,42.19999999999999,59.499999999999986,30.099999999999998,12.2,8.2,18.800000000000004,31.8,138.79999999999998,335.7,0.4375882352941177,0.2799375,0.4458823529411765,0.7010666666666666,0.4921176470588235,27.11764705882353
2005,denver_nuggets,44.0,38.0,0.5365853658536586,54.89999999999999,121.59999999999998,6.8999999999999995,22.199999999999992,48.0,99.5,28.799999999999997,40.699999999999996,16.799999999999997,47.10000000000001,63.99999999999999,34.4,12.700000000000003,8.0,23.900000000000006,36.50000000000001,145.00000000000003,369.9000000000001,0.4474705882352941,0.2431333333333333,0.39694444444444454,0.6805000000000001,0.42566666666666664,27.736842105263158
2006,denver_nuggets,45.0,37.0,0.5487804878048781,64.6,140.6,8.9,28.0,55.900000000000006,112.79999999999998,35.99999999999999,51.40000000000001,20.700000000000003,54.099999999999994,74.79999999999998,49.3,13.700000000000001,7.8,31.3,39.099999999999994,173.79999999999998,427.6,0.5018888888888889,0.183375,0.46316666666666667,0.7151176470588236,0.49172222222222217,26.72222222222222
2007,denver_nuggets,50.0,32.0,0.6097560975609756,49.2,106.89999999999999,8.900000000000002,25.599999999999998,40.300000000000004,81.49999999999999,27.700000000000003,38.09999999999999,14.899999999999999,43.4,58.2,29.999999999999993,11.5,8.799999999999999,19.3,30.6,134.90000000000003,320.80000000000007,0.5044117647058824,0.2972,0.46688235294117647,0.6946470588235294,0.5096470588235293,27.058823529411764
2008,denver_nuggets,54.0,28.0,0.6585365853658537,50.199999999999996,109.8,8.1,23.400000000000002,42.300000000000004,86.39999999999999,32.3,43.4,14.6,40.3,54.9,34.29999999999999,11.600000000000001,8.600000000000001,21.8,31.1,141.20000000000002,337.0,0.47458823529411764,0.24925000000000003,0.4431764705882353,0.7072666666666666,0.4698823529411764,28.0
