season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2000,vancouver_grizzlies,23.0,59.0,0.2804878048780488,24.1,53.3,2.6,7.699999999999999,21.299999999999997,45.60000000000001,12.8,16.299999999999997,6.1,16.6,22.700000000000003,15.600000000000001,3.7,2.1,10.6,10.8,63.6,145.10000000000002,0.466,0.23525,0.45225,0.78425,0.4755,24.5
2000,denver_nuggets,40.0,42.0,0.4878048780487805,23.9,53.3,4.4,11.6,19.5,41.6,11.4,15.5,6.8,19.3,26.199999999999996,14.4,2.8,4.6000000000000005,7.1,10.4,63.60000000000001,135.0,0.458,0.37633333333333335,0.44575000000000004,0.7535000000000001,0.49025,26.5
2001,denver_nuggets,27.0,55.0,0.32926829268292684,25.0,58.3,4.3,12.2,20.700000000000003,46.0,10.8,14.200000000000001,7.2,17.7,25.000000000000004,14.5,3.5,4.3,8.1,11.4,64.9,136.9,0.44775000000000004,0.2635,0.42674999999999996,0.753,0.464,27.0
2002,denver_nuggets,17.0,65.0,0.2073170731707317,19.7,45.99999999999999,2.4,7.4,17.3,38.5,10.7,14.699999999999998,6.9,14.8,21.8,13.1,4.3999999999999995,1.5000000000000002,9.4,11.4,52.4,125.0,0.44775,0.28400000000000003,0.43300000000000005,0.72275,0.4615,25.5
2003,denver_nuggets,43.0,39.0,0.524390243902439,22.499999999999996,50.4,2.4,7.3999999999999995,20.1,43.0,14.3,18.5,6.3,13.3,19.8,13.2,5.2,1.5,9.4,11.100000000000001,61.8,134.2,0.47500000000000003,0.21850000000000003,0.45875000000000005,0.7705,0.48025000000000007,24.25
2004,denver_nuggets,49.0,33.0,0.5975609756097561,22.8,49.4,0.7,2.9000000000000004,22.1,46.5,13.9,18.3,7.2,19.9,27.1,14.200000000000001,4.7,4.6,9.399999999999999,11.600000000000001,60.2,132.6,0.47775,0.10500000000000001,0.46575000000000005,0.75075,0.47075,26.25
2005,denver_nuggets,44.0,38.0,0.5365853658536586,25.1,51.7,0.6,2.6,24.6,49.1,15.5,21.2,6.7,17.9,24.6,15.6,5.1,4.3,10.0,11.0,66.2,134.1,0.5005,0.17149999999999999,0.488,0.7095,0.49250000000000005,27.75
2006,denver_nuggets,45.0,37.0,0.5487804878048781,28.799999999999997,61.5,1.8,5.8999999999999995,27.0,55.7,18.7,24.299999999999997,5.9,19.2,25.2,23.299999999999997,5.800000000000001,4.1,12.3,9.7,77.89999999999999,150.10000000000002,0.48350000000000004,0.21625,0.46875,0.75625,0.4805,28.75
2007,denver_nuggets,50.0,32.0,0.6097560975609756,27.099999999999998,56.0,2.1,6.0,25.0,50.2,17.4,23.0,7.299999999999999,22.7,30.0,15.1,5.6000000000000005,5.3999999999999995,9.1,10.6,73.6,143.5,0.4975,0.29524999999999996,0.48449999999999993,0.72075,0.49824999999999997,29.5
2008,denver_nuggets,54.0,28.0,0.6585365853658537,24.9,53.3,3.8,10.5,21.2,42.900000000000006,20.4,26.0,5.4,14.9,20.3,17.900000000000002,4.5,2.2,10.399999999999999,9.7,74.0,143.4,0.49725,0.30774999999999997,0.47925,0.78725,0.513,28.75
