season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2000,vancouver_grizzlies,23.0,59.0,0.2804878048780488,23.4,51.9,2.6,7.699999999999999,20.599999999999998,44.2,11.6,14.7,5.6000000000000005,16.6,22.1,15.9,3.9000000000000004,2.2,9.399999999999999,10.9,61.0,140.70000000000002,0.464,0.29774999999999996,0.45075,0.7885,0.47425,24.5
2000,denver_nuggets,40.0,42.0,0.4878048780487805,22.7,49.900000000000006,3.4,9.4,19.299999999999997,40.300000000000004,10.9,14.799999999999999,7.699999999999999,20.7,28.599999999999998,14.0,3.1,4.8999999999999995,7.0,11.100000000000001,59.5,133.4,0.47550000000000003,0.34800000000000003,0.44949999999999996,0.75825,0.48600000000000004,25.75
2001,denver_nuggets,27.0,55.0,0.32926829268292684,21.400000000000002,50.2,4.3,12.3,17.1,37.8,7.3,9.8,5.0,15.5,20.6,13.399999999999999,3.4000000000000004,4.0,6.5,10.299999999999999,54.3,126.0,0.4545,0.2635,0.43274999999999997,0.7322500000000001,0.47000000000000003,27.5
2002,denver_nuggets,17.0,65.0,0.2073170731707317,16.3,37.099999999999994,0.5,1.7000000000000002,15.8,35.300000000000004,7.8999999999999995,11.399999999999999,6.1,13.299999999999999,19.4,10.5,4.6,2.0,8.1,12.3,40.9,111.5,0.43975,0.25475,0.431,0.70575,0.43875000000000003,23.0
2003,denver_nuggets,43.0,39.0,0.524390243902439,20.7,45.2,0.9,3.4000000000000004,19.799999999999997,41.8,13.7,17.9,8.6,18.4,27.2,12.899999999999999,5.6,3.9,9.4,12.0,56.2,133.6,0.48300000000000004,0.12675,0.47250000000000003,0.7530000000000001,0.47975,24.0
2004,denver_nuggets,49.0,33.0,0.5975609756097561,22.8,49.4,0.7,2.9000000000000004,22.1,46.5,13.9,18.3,7.2,19.9,27.1,14.200000000000001,4.7,4.6,9.399999999999999,11.600000000000001,60.2,132.6,0.47775,0.10500000000000001,0.46575000000000005,0.75075,0.47075,26.25
2005,denver_nuggets,44.0,38.0,0.5365853658536586,21.9,45.8,0.6,2.5,21.4,43.400000000000006,13.7,17.9,6.4,19.5,25.8,13.7,4.6,4.6,8.3,11.2,57.89999999999999,127.7,0.497,0.17975000000000002,0.48525000000000007,0.73,0.4895,27.5
2006,denver_nuggets,45.0,37.0,0.5487804878048781,28.299999999999997,58.8,1.6,5.199999999999999,26.700000000000003,53.6,19.0,24.999999999999996,7.1,20.5,27.7,15.399999999999999,5.2,4.8,11.3,10.5,77.1,141.2,0.5045,0.15375,0.49325,0.74625,0.503,27.25
2007,denver_nuggets,50.0,32.0,0.6097560975609756,27.099999999999998,56.0,2.1,6.0,25.0,50.2,17.4,23.0,7.299999999999999,22.7,30.0,15.1,5.6000000000000005,5.3999999999999995,9.1,10.6,73.6,143.5,0.4975,0.29524999999999996,0.48449999999999993,0.72075,0.49824999999999997,29.5
2008,denver_nuggets,54.0,28.0,0.6585365853658537,20.799999999999997,44.3,3.2,7.999999999999999,17.7,36.2,15.799999999999999,19.599999999999998,5.1000000000000005,14.600000000000001,19.700000000000003,12.200000000000001,4.1,2.1,8.0,11.2,60.7,120.5,0.48425,0.407,0.48125,0.78925,0.513,27.5
