0,1,season
San Antonio Spurs,map,2000
Sacramento Kings,map,2000
Utah Jazz,map,2000
Dallas Mavericks,map,2000
Portland Trail Blazers,map,2000
Los Angeles Lakers,map,2000
Philadelphia 76ers,map,2000
Milwaukee Bucks,map,2000
Houston Rockets,mip,2000
Phoenix Suns,map,2000
New York Knicks,map,2000
Minnesota Timberwolves,map,2000
Miami Heat,map,2000
Toronto Raptors,map,2000
Charlotte Hornets,map,2000
Seattle SuperSonics,mip,2000
Orlando Magic,map,2000
Indiana Pacers,map,2000
Denver Nuggets,mip,2000
Detroit Pistons,mip,2000
Los Angeles Clippers,mip,2000
Boston Celtics,mip,2000
Cleveland Cavaliers,mip,2000
Vancouver Grizzlies,mip,2000
New Jersey Nets,mip,2000
Atlanta Hawks,mip,2000
Washington Wizards,mip,2000
Golden State Warriors,mip,2000
Chicago Bulls,mip,2000
Sacramento Kings,map,2001
Los Angeles Lakers,map,2001
San Antonio Spurs,map,2001
Dallas Mavericks,map,2001
New Jersey Nets,map,2001
Minnesota Timberwolves,map,2001
Seattle SuperSonics,map,2001
Portland Trail Blazers,map,2001
Boston Celtics,map,2001
Detroit Pistons,map,2001
Philadelphia 76ers,map,2001
Orlando Magic,map,2001
Utah Jazz,map,2001
Charlotte Hornets,map,2001
Indiana Pacers,map,2001
Los Angeles Clippers,mip,2001
Phoenix Suns,mip,2001
Milwaukee Bucks,mip,2001
Toronto Raptors,map,2001
Washington Wizards,mip,2001
Miami Heat,mip,2001
Cleveland Cavaliers,mip,2001
New York Knicks,mip,2001
Houston Rockets,mip,2001
Atlanta Hawks,mip,2001
Golden State Warriors,mip,2001
Denver Nuggets,mip,2001
Memphis Grizzlies,mip,2001
Chicago Bulls,mip,2001
Dallas Mavericks,map,2002
Sacramento Kings,map,2002
San Antonio Spurs,map,2002
New Jersey Nets,map,2002
Detroit Pistons,map,2002
Portland Trail Blazers,map,2002
Indiana Pacers,map,2002
Utah Jazz,map,2002
Los Angeles Lakers,map,2002
Minnesota Timberwolves,map,2002
Houston Rockets,mip,2002
Philadelphia 76ers,map,2002
Phoenix Suns,map,2002
New Orleans Hornets,map,2002
Seattle SuperSonics,mip,2002
Milwaukee Bucks,map,2002
Orlando Magic,map,2002
Golden State Warriors,mip,2002
Boston Celtics,map,2002
Washington Wizards,mip,2002
New York Knicks,mip,2002
Memphis Grizzlies,mip,2002
Los Angeles Clippers,mip,2002
Atlanta Hawks,mip,2002
Miami Heat,mip,2002
Chicago Bulls,mip,2002
Toronto Raptors,mip,2002
Denver Nuggets,mip,2002
Cleveland Cavaliers,mip,2002
San Antonio Spurs,map,2003
Minnesota Timberwolves,map,2003
Sacramento Kings,map,2003
Detroit Pistons,map,2003
Indiana Pacers,map,2003
Dallas Mavericks,map,2003
Los Angeles Lakers,map,2003
Memphis Grizzlies,map,2003
Houston Rockets,map,2003
New Jersey Nets,map,2003
Denver Nuggets,map,2003
Milwaukee Bucks,map,2003
Seattle SuperSonics,mip,2003
Golden State Warriors,mip,2003
Miami Heat,map,2003
Utah Jazz,mip,2003
Portland Trail Blazers,mip,2003
New Orleans Hornets,map,2003
New York Knicks,map,2003
Boston Celtics,map,2003
Phoenix Suns,mip,2003
Philadelphia 76ers,mip,2003
Cleveland Cavaliers,mip,2003
Toronto Raptors,mip,2003
Los Angeles Clippers,mip,2003
Atlanta Hawks,mip,2003
Washington Wizards,mip,2003
Chicago Bulls,mip,2003
Orlando Magic,mip,2003
San Antonio Spurs,map,2004
Phoenix Suns,map,2004
Dallas Mavericks,map,2004
Miami Heat,map,2004
Houston Rockets,map,2004
Detroit Pistons,map,2004
Memphis Grizzlies,map,2004
Seattle SuperSonics,map,2004
Sacramento Kings,map,2004
Denver Nuggets,map,2004
Minnesota Timberwolves,mip,2004
Chicago Bulls,map,2004
Indiana Pacers,map,2004
Boston Celtics,map,2004
Cleveland Cavaliers,mip,2004
Los Angeles Clippers,mip,2004
Washington Wizards,map,2004
Philadelphia 76ers,map,2004
Golden State Warriors,mip,2004
Toronto Raptors,mip,2004
New Jersey Nets,map,2004
Los Angeles Lakers,mip,2004
Orlando Magic,mip,2004
New York Knicks,mip,2004
Milwaukee Bucks,mip,2004
