team,age,w,l,ortg,drtg,ftr,3par,ts%,efg%,tov%,orb%,ft/fga,efg%_def,tov%_def,drb%,ft/fga_def,season
League Average,27.8,,,103.0,103.0,0.309,0.17,0.518,0.473,14.1,28.2,0.231,0.473,14.1,71.8,0.231,2000
League Average,27.4,,,104.5,104.5,0.293,0.18100000000000002,0.52,0.47700000000000004,13.6,28.9,0.221,0.47700000000000004,13.6,71.1,0.221,2001
League Average,27.2,,,103.6,103.6,0.302,0.182,0.519,0.474,14.0,28.5,0.22899999999999998,0.474,14.0,71.5,0.22899999999999998,2002
League Average,27.2,,,102.9,102.9,0.303,0.187,0.516,0.47100000000000003,14.2,28.6,0.228,0.47100000000000003,14.2,71.4,0.228,2003
League Average,27.1,,,106.1,106.1,0.324,0.196,0.529,0.48200000000000004,13.6,28.7,0.245,0.48200000000000004,13.6,71.3,0.245,2004
League Average,26.6,,,106.2,106.2,0.33299999999999996,0.20199999999999999,0.536,0.49,13.7,27.3,0.248,0.49,13.7,72.7,0.248,2005
League Average,26.7,,,106.5,106.5,0.327,0.213,0.541,0.496,14.2,27.1,0.24600000000000002,0.496,14.2,72.9,0.24600000000000002,2006
League Average,27.0,,,107.5,107.5,0.306,0.222,0.54,0.49700000000000005,13.2,26.7,0.231,0.49700000000000005,13.2,73.3,0.231,2007
League Average,26.8,,,108.3,108.3,0.306,0.22399999999999998,0.544,0.5,13.3,26.7,0.23600000000000002,0.5,13.3,73.3,0.23600000000000002,2008
League Average,26.8,,,107.6,107.6,0.3,0.222,0.5429999999999999,0.501,13.3,26.3,0.228,0.501,13.3,73.7,0.228,2009
League Average,26.7,,,107.3,107.3,0.3,0.222,0.541,0.498,13.4,26.4,0.22899999999999998,0.498,13.4,73.6,0.22899999999999998,2010
League Average,26.7,,,104.6,104.6,0.276,0.226,0.527,0.48700000000000004,13.8,27.0,0.20800000000000002,0.48700000000000004,13.8,73.0,0.20800000000000002,2011
League Average,26.7,,,105.9,105.9,0.27,0.243,0.535,0.496,13.7,26.5,0.204,0.496,13.7,73.5,0.204,2012
League Average,26.6,,,106.7,106.7,0.284,0.259,0.541,0.501,13.6,25.5,0.215,0.501,13.6,74.5,0.215,2013
League Average,26.8,,,105.6,105.6,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205,2014
League Average,26.8,,,106.4,106.4,0.276,0.285,0.541,0.502,13.2,23.8,0.209,0.502,13.2,76.2,0.209,2015
League Average,26.6,,,108.8,108.8,0.271,0.316,0.552,0.514,12.7,23.3,0.209,0.514,12.7,76.7,0.209,2016
League Average,26.6,,,107.2,107.2,0.259,0.33799999999999997,0.555,0.519,13.9,22.3,0.198,0.519,13.9,77.7,0.198,2017
