,fg%,fga,3p%,3pa,2p%,2pa,ft%,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,efg%,age,per,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,season
mean,0.453,52.157142857142865,0.3031160714285714,8.632142857142856,0.4689285714285715,43.521428571428565,0.7743660714285714,17.25714285714286,6.382142857142858,17.803571428571427,24.200000000000006,14.635714285714286,4.621428571428572,2.9392857142857154,8.825000000000001,10.60357142857143,63.546428571428564,0.48302678571428576,27.392857142857142,17.47232142857143,0.16503571428571423,0.3385267857142857,5.24375,14.51875,9.88125,18.294642857142858,1.739285714285714,1.5294642857142857,13.224107142857141,22.049107142857142,4.043749999999998,2.4776785714285707,6.516071428571427,0.1253571428571429,1.4401785714285713,0.09553571428571428,1.5330357142857138,2.384821428571428,2000
sd,0.018245623523951652,5.133652845137809,0.07538683960780107,2.714713486202423,0.01932984369163023,4.9949869048771465,0.04673543951025742,3.164084159978773,1.5710467309051728,2.608459477653591,3.8251603694292142,2.6372283831654673,0.8612467891063698,1.253539961015377,0.963260281736131,0.7208442287459906,6.583395619556665,0.019772120674130558,2.2632619153236546,1.6843140609221625,0.050656464355029567,0.06131934242922361,1.106914819065436,1.7926111851461575,1.2658554602703647,2.8575060119736593,0.31012456961235546,0.6521351531212743,1.509483633547277,1.3490991875043392,1.5190247998609476,1.1403650180265195,2.2303484851205124,0.03553593828862424,0.9352990036295753,1.0162807457749086,1.4606894232758179,0.9546023819747977,2000
mean,0.44673214285714297,53.20357142857143,0.305389880952381,10.128571428571428,0.46533035714285725,43.06071428571429,0.7806785714285717,15.617857142857138,6.160714285714286,17.482142857142858,23.65,14.66428571428572,4.639285714285714,2.7107142857142854,8.503571428571428,10.285714285714286,63.28214285714285,0.4810089285714286,27.714285714285715,16.812500000000004,0.19128571428571428,0.2940267857142857,5.079464285714287,14.294642857142856,9.69732142857143,18.14642857142857,1.7625,1.3982142857142856,12.644642857142856,22.125,3.5839285714285722,2.4205357142857147,6.001785714285715,0.11575892857142854,1.2821428571428573,0.09464285714285711,1.3651785714285716,2.2160714285714294,2001
sd,0.020577757743656486,4.952401747514338,0.059245795867460864,3.2649493380287202,0.022718084407074984,4.612169031443143,0.050409428182984266,2.484925451065785,1.215437517846294,2.074725072626281,2.690380669746969,3.072725209262978,0.9003453188203363,1.1441766522876666,0.8306544242263277,1.142030124047875,6.188702584753906,0.021876810204768195,2.2899885630822743,1.6124730833240117,0.05521740341786853,0.04649991732796884,1.0273359464291107,1.6566135295365016,1.1798136090571265,3.4835573710894954,0.33197640478403484,0.5994954889487004,1.2937055081427695,1.374115877371499,1.5439579712321243,1.0955518981957044,1.9508062028991606,0.03333003331879142,1.0677914456618258,0.8822413885807373,1.1168809762366647,0.7992824990124038,2001
mean,0.4479017857142856,52.66071428571428,0.3171785714285714,10.128571428571428,0.46844642857142843,42.539285714285704,0.7770089285714287,16.178571428571427,5.864285714285713,17.189285714285713,23.02142857142857,14.314285714285717,4.667857142857143,2.5892857142857144,8.678571428571429,10.446428571428571,63.32142857142856,0.4825089285714287,26.919642857142858,17.13660714285714,0.1943660714285714,0.3038482142857143,4.89732142857143,14.186607142857145,9.546428571428573,18.216964285714283,1.7848214285714294,1.3723214285714285,12.929464285714284,22.280357142857145,3.7848214285714286,2.482142857142857,6.26607142857143,0.1199375,1.41875,0.041964285714285746,1.4678571428571432,2.2651785714285717,2002
sd,0.019211582550652334,5.8757088956529335,0.05992287444569239,4.135380957224577,0.021264249812909457,5.270837960346799,0.04395154540234017,2.5894883153723116,1.4040191741104684,2.4097547571107705,3.3780727732504023,2.419169475745954,0.7963125998084902,1.2332850698407338,1.1110079317172425,1.242304353135779,7.2036182854254855,0.022615596280129793,2.2802022037413896,1.5992834353590224,0.0795442598128859,0.050028155928257156,1.180813813955237,1.6076420814874535,1.2623778687848912,2.637005645889865,0.2973135336670487,0.6111365885742563,1.6726012892352211,1.3923793441786037,1.516656582471272,1.1201615529743487,2.013372128555059,0.03346222476332246,1.179132312024083,1.0485230699926817,1.3834648053799086,0.9298132848636843,2002
mean,0.4404196428571427,53.278571428571425,0.29958333333333326,11.264285714285716,0.46175,42.032142857142865,0.7779196428571428,16.507142857142856,5.814285714285715,17.47142857142857,23.285714285714285,14.674999999999997,4.532142857142857,2.553571428571428,9.085714285714287,9.935714285714285,63.371428571428574,0.47790178571428577,27.044642857142858,17.01160714285714,0.21156250000000001,0.31083928571428565,4.747321428571429,14.224999999999998,9.492857142857144,18.749107142857145,1.7241071428571433,1.3303571428571428,13.200892857142856,22.591964285714287,3.6,2.4151785714285716,6.0249999999999995,0.11679464285714285,1.3625,-0.12678571428571425,1.2303571428571427,2.1544642857142855,2003
sd,0.020018631781074436,5.503423657839906,0.05876309502952137,3.694361498054417,0.023138972255418718,5.905869871729222,0.043951891501212904,3.1594571230148563,1.3443198158160756,2.6585790054166774,3.521859177123933,2.7150642854404157,0.6960489400783016,1.138056219029604,1.2051476890327393,0.9719069783694191,6.026291602319827,0.02221291533779915,2.196433948459887,1.4928763273747692,0.07934738510592614,0.06154376695752991,1.0179713687879228,1.6975199775184011,1.1975835458147999,2.9736145400067713,0.27625824462786214,0.5326974135393698,1.3031742255620746,1.3020826190474235,1.4328649105382725,1.4645714087662853,2.061305770981462,0.03304297521378539,1.0236893155712894,1.1698949100364104,1.4342432051184941,0.942540243060401,2003
mean,0.4530535714285714,50.77586206896552,0.2974940476190477,10.358620689655174,0.4725982142857143,40.41034482758619,0.7789285714285714,17.49655172413793,5.793103448275862,16.758620689655174,22.56896551724138,13.741379310344827,4.4,2.3620689655172415,8.265517241379309,10.386206896551725,63.07586206896552,0.48991964285714296,26.651785714285715,17.40535714285714,0.20327678571428573,0.3415178571428573,5.125,14.600892857142858,9.8625,17.960714285714285,1.734821428571429,1.3544642857142855,12.464285714285714,22.526785714285715,3.634821428571428,2.3589285714285713,5.994642857142856,0.12249107142857144,1.4598214285714284,0.12410714285714285,1.583035714285714,2.188392857142857,2004
sd,0.02422974116953907,11.379074001128242,0.0667744727434855,4.928453628919907,0.022519676508033035,9.311987083768742,0.04247879956753031,4.702011937049675,1.7930283709178327,3.774209211532105,5.226724148087121,3.8170217673487,1.2218253323847656,1.2283594730671847,2.023659320225362,2.2949827478235827,14.137226823744815,0.019104252674158582,1.8525998819905294,1.3879334014945124,0.08140398056759064,0.05495915691285148,1.4202405899471162,1.7315894291252185,1.4877975892797606,3.446686738144253,0.2774169283162117,0.6940572333184728,1.2392393980641048,1.8261086000146927,1.3764443472241408,1.1065715798698523,1.9422609622557536,0.027948984787669405,0.8608065577667143,1.1115238568701684,1.2366332275246326,0.8731191993327063,2004
