team_name,age,w,l,ortg,drtg,ftr,3par,ts%,efg%,tov%,orb%,ft/fga,efg%_def,tov%_def,drb%,ft/fga_def,season,wp
san_antonio_spurs,29.5,58.0,24.0,106.6,98.0,0.374,0.175,0.541,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,2000,0.7073170731707317
sacramento_kings,27.1,55.0,27.0,105.6,99.6,0.298,0.19399999999999998,0.529,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.18100000000000002,2000,0.6707317073170732
utah_jazz,32.0,53.0,29.0,107.6,102.4,0.363,0.135,0.546,0.49700000000000005,15.1,30.2,0.273,0.473,15.6,73.2,0.301,2000,0.6463414634146342
dallas_mavericks,26.6,53.0,29.0,107.1,102.6,0.29100000000000004,0.20199999999999999,0.544,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,2000,0.6463414634146342
portland_trail_blazers,30.1,50.0,32.0,106.5,101.8,0.29600000000000004,0.165,0.539,0.49700000000000005,14.8,30.0,0.225,0.47,14.3,72.4,0.223,2000,0.6097560975609756
los_angeles_lakers,29.2,56.0,26.0,108.4,104.8,0.349,0.191,0.535,0.498,13.3,31.1,0.23800000000000002,0.46799999999999997,12.2,72.5,0.23399999999999999,2000,0.6829268292682927
philadelphia_76ers,28.2,56.0,26.0,103.6,98.9,0.35100000000000003,0.124,0.518,0.46799999999999997,14.7,31.2,0.262,0.46,14.5,72.5,0.18600000000000003,2000,0.6829268292682927
milwaukee_bucks,28.2,52.0,30.0,108.8,104.6,0.276,0.218,0.542,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.253,2000,0.6341463414634146
houston_rockets,26.7,45.0,37.0,106.7,104.2,0.321,0.217,0.5379999999999999,0.49200000000000005,14.0,27.5,0.244,0.475,12.6,71.9,0.20600000000000002,2000,0.5487804878048781
phoenix_suns,28.6,51.0,31.0,100.3,98.0,0.292,0.156,0.506,0.46,14.1,27.3,0.221,0.46,16.3,73.7,0.252,2000,0.6219512195121951
new_york_knicks,29.8,48.0,34.0,101.2,98.2,0.27899999999999997,0.18,0.523,0.47600000000000003,14.6,24.2,0.222,0.45299999999999996,14.7,74.3,0.24,2000,0.5853658536585366
minnesota_timberwolves,27.4,47.0,35.0,105.2,103.7,0.253,0.131,0.523,0.48200000000000004,13.0,28.6,0.19899999999999998,0.478,14.2,71.9,0.23800000000000002,2000,0.573170731707317
miami_heat,30.9,50.0,32.0,101.1,98.5,0.299,0.221,0.515,0.469,13.7,24.3,0.22699999999999998,0.46,15.3,72.7,0.214,2000,0.6097560975609756
