"Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance"
"1,Houston Rockets,29.3,17,4,17,4,10.81,-0.22,10.60,114.7,103.8,99.3,.296,.529,.600,.560,14.5,22.6,.238,.517,14.3,81.7,.177,Toyota Center,175322"
"2,Golden State Warriors,29.1,17,6,18,5,10.65,-0.17,10.49,115.5,105.0,101.7,.240,.365,.618,.585,14.9,22.2,.196,.492,13.4,76.7,.201,Oracle Arena,215556"
"3,Toronto Raptors,25.9,14,7,15,6,7.19,0.74,7.93,113.3,106.0,97.8,.259,.374,.587,.554,13.3,21.9,.201,.503,14.0,76.5,.222,Air Canada Centre,178200"
"4,Boston Celtics,24.5,19,4,17,6,7.17,-0.34,6.84,107.5,100.1,96.3,.281,.367,.551,.511,13.3,22.1,.216,.491,14.1,80.3,.178,TD Garden,204864"
"5,Washington Wizards,27.0,12,10,14,8,3.95,-0.53,3.42,109.8,105.7,97.3,.286,.303,.560,.518,12.9,22.6,.225,.505,14.0,75.8,.215,Capital One Arena,171792"
"6,Philadelphia 76ers,25.5,12,9,11,10,0.52,2.66,3.18,106.4,105.9,102.0,.271,.338,.550,.520,15.1,26.3,.192,.495,12.5,79.4,.237,Wells Fargo Center,206359"
"7,San Antonio Spurs,29.5,15,7,14,8,3.95,-1.45,2.50,107.1,102.9,94.7,.249,.294,.546,.508,13.3,24.2,.196,.507,13.7,79.9,.164,AT&T Center,219731"
"8,Utah Jazz,27.0,12,11,14,9,3.13,-0.72,2.42,107.5,104.2,95.5,.235,.363,.561,.522,13.9,20.1,.193,.520,16.1,77.9,.209,Vivint Smart Home Arena,241623"
"9,Detroit Pistons,25.7,14,7,12,9,2.38,0.03,2.41,108.8,106.4,96.6,.211,.336,.556,.528,13.6,23.9,.159,.530,14.9,78.1,.180,Little Caesars Arena,168797"
"10,Oklahoma City Thunder,27.3,9,12,13,8,3.10,-0.89,2.21,106.3,103.1,96.6,.256,.361,.538,.502,13.6,25.6,.190,.515,17.1,77.2,.215,Chesapeake Energy Arena,182030"
"11,Portland Trail Blazers,25.6,13,9,14,8,3.68,-1.73,1.95,105.5,101.7,96.8,.278,.278,.539,.492,13.9,24.6,.225,.483,12.2,80.9,.196,Moda Center,230017"
"12,Cleveland Cavaliers,31.3,15,7,13,9,2.45,-0.61,1.84,112.9,110.4,98.1,.285,.386,.589,.548,13.9,21.4,.230,.532,13.0,76.3,.178,Quicken Loans Arena,226182"
"13,New York Knicks,26.8,11,10,11,10,0.76,0.99,1.75,108.5,107.7,96.4,.241,.278,.556,.520,14.7,26.6,.192,.511,13.0,77.6,.199,Madison Square Garden (IV),266834"
"14,Indiana Pacers,26.3,12,11,12,11,0.30,1.07,1.37,109.5,109.2,99.2,.233,.288,.567,.535,13.0,21.6,.180,.537,13.8,76.7,.153,Bankers Life Fieldhouse,150701"
"15,Minnesota Timberwolves,27.0,13,10,12,11,0.35,-0.20,0.15,110.9,110.6,96.7,.295,.271,.563,.520,13.1,25.7,.231,.547,14.4,76.6,.163,Target Center,182229"
"16,Denver Nuggets,25.0,12,9,10,11,-0.10,-0.54,-0.64,108.8,108.9,97.9,.268,.345,.556,.524,14.7,27.7,.195,.546,14.7,78.0,.158,Pepsi Center,181888"
"17,Charlotte Hornets,26.1,8,13,9,12,-1.52,0.66,-0.87,106.3,107.8,98.8,.340,.305,.541,.499,12.3,22.4,.246,.512,11.8,80.6,.180,Spectrum Center,168878"
"18,Milwaukee Bucks,25.7,11,9,9,11,-1.00,0.03,-0.97,106.8,107.8,95.8,.258,.304,.566,.535,13.3,17.5,.189,.524,15.5,76.7,.239,BMO Harris Bradley Center,138251"
"19,New Orleans Pelicans,28.2,11,11,10,12,-1.18,-0.07,-1.25,107.5,108.7,100.0,.250,.349,.571,.539,14.7,20.5,.189,.524,13.7,77.4,.192,Smoothie King Center,163270"
"20,Memphis Grizzlies,27.5,7,14,8,13,-3.10,1.71,-1.39,103.4,106.7,94.4,.276,.341,.543,.499,13.5,18.7,.219,.505,14.6,76.0,.236,FedEx Forum,196152"
"21,Los Angeles Clippers,27.5,8,12,9,11,-1.25,-0.54,-1.79,108.5,109.8,97.1,.294,.352,.558,.518,14.3,25.0,.222,.528,14.1,76.2,.217,STAPLES Center,168223"
"22,Miami Heat,26.5,11,11,9,13,-2.55,0.01,-2.54,103.0,105.6,96.9,.224,.389,.549,.517,15.2,18.9,.172,.503,13.4,78.4,.224,AmericanAirlines Arena,196104"
"23,Orlando Magic,25.7,9,14,9,14,-3.70,0.83,-2.87,107.5,111.1,100.6,.246,.353,.565,.535,13.6,19.2,.181,.525,13.1,74.4,.197,Amway Center,180942"
"24,Brooklyn Nets,25.7,8,13,8,13,-3.10,0.09,-3.01,107.0,110.1,102.9,.301,.377,.547,.510,13.3,21.8,.219,.526,12.6,77.8,.218,Barclays Center,140788"
"25,Los Angeles Lakers,23.6,8,13,9,12,-2.10,-0.99,-3.08,102.2,104.2,103.3,.266,.292,.537,.505,14.8,21.6,.189,.506,14.2,77.5,.191,STAPLES Center,225414"
"26,Dallas Mavericks,28.1,5,17,7,15,-5.27,1.00,-4.27,102.6,108.1,96.4,.227,.388,.532,.499,13.1,17.9,.173,.532,14.1,79.9,.222,American Airlines Center,257282"
"27,Atlanta Hawks,25.9,4,17,7,14,-6.05,0.60,-5.45,104.9,111.1,98.0,.217,.328,.552,.518,14.7,21.0,.173,.543,15.1,73.8,.193,Philips Arena,143464"
"28,Sacramento Kings,26.5,7,15,4,18,-10.23,0.45,-9.78,100.3,111.1,95.0,.205,.246,.517,.488,13.7,20.9,.151,.553,14.7,75.9,.183,Golden 1 Center,175830"
"29,Phoenix Suns,23.9,8,15,6,17,-8.91,-1.31,-10.22,103.1,111.7,103.2,.287,.289,.531,.490,14.2,24.0,.215,.528,12.4,76.4,.217,Talking Stick Resort Arena,216373"
"30,Chicago Bulls,24.6,3,18,4,17,-11.10,-0.38,-11.48,98.6,110.0,96.7,.185,.360,.504,.475,13.2,20.0,.140,.535,12.1,80.7,.196,United Center,187133"
",League Average,26.6,,,11,11,0.00,0.00,0.00,107.2,107.2,98.1,.259,.338,.555,.519,13.9,22.3,.198,.519,13.9,77.7,.198,,192008"
